DataID,ClassID,MethodID,ClassName,MethodName,Line,InstructionIndex,EventType,ValueDesc,Attributes
0,0,0,Main,<init>,5,-1,RESERVED,V,"null"
1,0,0,Main,<init>,5,0,METHOD_ENTRY,V,"methodtype=constructor"
2,0,0,Main,<init>,5,0,LABEL,I,"null"
3,0,0,Main,<init>,5,1,LINE_NUMBER,V,"null"
4,0,0,Main,<init>,5,3,CALL,V,"opcode=INVOKESPECIAL,owner=java.lang.Object,name=<init>,desc=()V,methodtype=constructor"
5,0,0,Main,<init>,5,3,CALL_RETURN,V,"type=void"
6,0,0,Main,<init>,5,3,METHOD_OBJECT_INITIALIZED,Ljava/lang/Object;,"null"
7,0,0,Main,<init>,5,4,METHOD_NORMAL_EXIT,V,"type=void"
8,0,0,Main,<init>,5,6,CATCH,Ljava/lang/Object;,"type=java.lang.Throwable,location=exceptional-exit,start=0,end=6,handler=6"
9,0,0,Main,<init>,5,6,METHOD_EXCEPTIONAL_EXIT,Ljava/lang/Object;,"location=exceptional-exit-rethrow"
10,0,1,Main,main,7,-1,RESERVED,V,"null"
11,0,1,Main,main,7,0,METHOD_ENTRY,V,"methodtype=static"
12,0,1,Main,main,7,0,METHOD_PARAM,Ljava/lang/Object;,"type=java.lang.String[],name=args,index=0"
13,0,1,Main,main,7,0,LABEL,I,"null"
14,0,1,Main,main,7,1,LINE_NUMBER,V,"null"
15,0,1,Main,main,7,2,OBJECT_CONSTANT_LOAD,Ljava/lang/Object;,"type=java.lang.String"
16,0,1,Main,main,7,3,LOCAL_STORE,Ljava/lang/Object;,"type=java.lang.String,varindex=1,name=str"
17,0,1,Main,main,8,4,LABEL,I,"null"
18,0,1,Main,main,8,5,LINE_NUMBER,V,"null"
19,0,1,Main,main,8,6,NEW_OBJECT,V,"objecttype=customClass.myMath"
20,0,1,Main,main,8,8,CALL,V,"opcode=INVOKESPECIAL,owner=customClass.myMath,name=<init>,desc=()V,methodtype=constructor,created=6"
21,0,1,Main,main,8,8,CALL_RETURN,V,"type=void"
22,0,1,Main,main,8,8,NEW_OBJECT_CREATED,Ljava/lang/Object;,"created=6"
23,0,1,Main,main,8,9,LOCAL_STORE,Ljava/lang/Object;,"type=customClass.myMath,varindex=2,name=calculator"
24,0,1,Main,main,9,10,LABEL,I,"null"
25,0,1,Main,main,9,11,LINE_NUMBER,V,"null"
26,0,1,Main,main,9,12,LOCAL_LOAD,Ljava/lang/Object;,"type=customClass.myMath,varindex=2,name=calculator"
27,0,1,Main,main,9,14,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=customClass.myMath,name=isPrime,desc=(I)Ljava/lang/Boolean;,methodtype=instance"
28,0,1,Main,main,9,14,CALL_PARAM,I,"type=int,index=1"
29,0,1,Main,main,9,14,CALL_RETURN,Ljava/lang/Object;,"type=java.lang.Boolean"
30,0,1,Main,main,10,16,LABEL,I,"null"
31,0,1,Main,main,10,17,LINE_NUMBER,V,"null"
32,0,1,Main,main,10,18,LOCAL_LOAD,Ljava/lang/Object;,"type=customClass.myMath,varindex=2,name=calculator"
33,0,1,Main,main,10,20,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=customClass.myMath,name=isPrime,desc=(I)Ljava/lang/Boolean;,methodtype=instance"
34,0,1,Main,main,10,20,CALL_PARAM,I,"type=int,index=1"
35,0,1,Main,main,10,20,CALL_RETURN,Ljava/lang/Object;,"type=java.lang.Boolean"
36,0,1,Main,main,11,22,LABEL,I,"null"
37,0,1,Main,main,11,23,LINE_NUMBER,V,"null"
38,0,1,Main,main,11,24,METHOD_NORMAL_EXIT,V,"type=void"
39,0,1,Main,main,11,26,CATCH,Ljava/lang/Object;,"type=java.lang.Throwable,location=exceptional-exit,start=0,end=26,handler=26"
40,0,1,Main,main,11,26,METHOD_EXCEPTIONAL_EXIT,Ljava/lang/Object;,"location=exceptional-exit-rethrow"
41,1,2,customClass/myMath,<init>,4,-1,RESERVED,V,"null"
