Seqnum,DataId,ThreadId,Value
0,11,0,0
1,12,0,1
2,13,0,0
3,14,0,0
4,15,0,2
5,16,0,2
6,17,0,0
7,18,0,0
8,19,0,0
9,20,0,0
10,42,0,0
11,43,0,0
12,44,0,0
13,45,0,0
14,46,0,0
15,47,0,3
16,48,0,0
17,21,0,0
18,22,0,3
19,23,0,3
20,24,0,8
21,25,0,0
22,26,0,3
23,27,0,3
24,28,0,2
25,153,0,3
26,154,0,2
27,155,0,0
28,156,0,0
29,157,0,2
30,165,0,4
31,166,0,0
32,167,0,2
33,168,0,10
34,169,0,2
35,170,0,2
36,171,0,2
37,188,0,21
38,189,0,0
39,190,0,0
40,191,0,true
41,192,0,4
42,193,0,4
43,29,0,4
44,30,0,14
45,31,0,0
46,32,0,3
47,33,0,3
48,34,0,3
49,153,0,3
50,154,0,3
51,155,0,0
52,156,0,0
53,157,0,3
54,165,0,4
55,166,0,0
56,167,0,2
57,168,0,10
58,169,0,2
59,170,0,2
60,171,0,3
61,188,0,21
62,189,0,0
63,190,0,0
64,191,0,true
65,192,0,4
66,193,0,4
67,35,0,4
68,36,0,20
69,37,0,0
70,38,0,0
