DataID,ClassID,MethodID,ClassName,MethodName,Line,InstructionIndex,EventType,ValueDesc,Attributes
0,0,0,Main,<init>,5,-1,RESERVED,V,"null"
1,0,0,Main,<init>,5,0,METHOD_ENTRY,V,"methodtype=constructor"
2,0,0,Main,<init>,5,0,LABEL,I,"null"
3,0,0,Main,<init>,5,1,LINE_NUMBER,V,"null"
4,0,0,Main,<init>,5,3,CALL,V,"opcode=INVOKESPECIAL,owner=java.lang.Object,name=<init>,desc=()V,methodtype=constructor"
5,0,0,Main,<init>,5,3,CALL_RETURN,V,"type=void"
6,0,0,Main,<init>,5,3,METHOD_OBJECT_INITIALIZED,Ljava/lang/Object;,"null"
7,0,0,Main,<init>,5,4,METHOD_NORMAL_EXIT,V,"type=void"
8,0,0,Main,<init>,5,6,CATCH,Ljava/lang/Object;,"type=java.lang.Throwable,location=exceptional-exit,start=0,end=6,handler=6"
9,0,0,Main,<init>,5,6,METHOD_EXCEPTIONAL_EXIT,Ljava/lang/Object;,"location=exceptional-exit-rethrow"
10,0,1,Main,main,8,-1,RESERVED,V,"null"
11,0,1,Main,main,8,0,METHOD_ENTRY,V,"methodtype=static"
12,0,1,Main,main,8,0,METHOD_PARAM,Ljava/lang/Object;,"type=java.lang.String[],name=args,index=0"
13,0,1,Main,main,8,0,LABEL,I,"null"
14,0,1,Main,main,8,1,LINE_NUMBER,V,"null"
15,0,1,Main,main,8,2,NEW_OBJECT,V,"objecttype=customClass.myMath"
16,0,1,Main,main,8,4,CALL,V,"opcode=INVOKESPECIAL,owner=customClass.myMath,name=<init>,desc=()V,methodtype=constructor,created=2"
17,0,1,Main,main,8,4,CALL_RETURN,V,"type=void"
18,0,1,Main,main,8,4,NEW_OBJECT_CREATED,Ljava/lang/Object;,"created=2"
19,0,1,Main,main,8,5,LOCAL_STORE,Ljava/lang/Object;,"type=customClass.myMath,varindex=1,name=calculator"
20,0,1,Main,main,9,6,LABEL,I,"null"
21,0,1,Main,main,9,7,LINE_NUMBER,V,"null"
22,0,1,Main,main,9,9,LOCAL_STORE,I,"type=int,varindex=2,name=num"
23,0,1,Main,main,10,10,LABEL,I,"null"
24,0,1,Main,main,10,11,LINE_NUMBER,V,"null"
25,0,1,Main,main,10,12,LOCAL_LOAD,Ljava/lang/Object;,"type=customClass.myMath,varindex=1,name=calculator"
26,0,1,Main,main,10,14,LOCAL_LOAD,I,"type=int,varindex=2,name=num"
27,0,1,Main,main,10,15,CALL,V,"opcode=INVOKESTATIC,owner=customClass.myMath,name=sieveOfEratosthenes,desc=(I)Ljava/util/List;,methodtype=static"
28,0,1,Main,main,10,15,CALL_PARAM,I,"type=int,index=0"
29,0,1,Main,main,10,15,CALL_RETURN,Ljava/lang/Object;,"type=java.util.List"
30,0,1,Main,main,10,16,LOCAL_STORE,Ljava/lang/Object;,"type=java.util.List,varindex=3,name=p"
31,0,1,Main,main,11,17,LABEL,I,"null"
32,0,1,Main,main,11,18,LINE_NUMBER,V,"null"
33,0,1,Main,main,11,19,LOCAL_LOAD,Ljava/lang/Object;,"type=customClass.myMath,varindex=1,name=calculator"
34,0,1,Main,main,11,20,LOCAL_LOAD,I,"type=int,varindex=2,name=num"
35,0,1,Main,main,11,21,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=customClass.myMath,name=primeFactors,desc=(I)Ljava/util/List;,methodtype=instance"
36,0,1,Main,main,11,21,CALL_PARAM,I,"type=int,index=1"
37,0,1,Main,main,11,21,CALL_RETURN,Ljava/lang/Object;,"type=java.util.List"
38,0,1,Main,main,11,22,LOCAL_STORE,Ljava/lang/Object;,"type=java.util.List,varindex=4,name=primes"
39,0,1,Main,main,13,23,LABEL,I,"null"
40,0,1,Main,main,13,24,LINE_NUMBER,V,"null"
41,0,1,Main,main,13,25,NEW_OBJECT,V,"objecttype=customClass.myString"
42,0,1,Main,main,13,27,OBJECT_CONSTANT_LOAD,Ljava/lang/Object;,"type=java.lang.String"
