Seqnum,DataId,ThreadId,Value
0,11,0,0
1,12,0,1
2,13,0,0
3,14,0,0
4,15,0,0
5,16,0,0
6,110,0,0
7,111,0,0
8,112,0,0
9,113,0,0
10,114,0,0
11,115,0,2
12,116,0,0
13,17,0,0
14,18,0,2
15,19,0,2
16,20,0,4
17,21,0,0
18,22,0,10
19,23,0,6
20,24,0,0
21,25,0,2
22,26,0,10
23,27,0,0
24,28,0,10
25,321,0,0
26,322,0,10
27,323,0,0
28,324,0,0
29,325,0,10
30,326,0,11
31,327,0,3
32,328,0,3
33,329,0,0
34,330,0,0
35,331,0,2
36,332,0,7
37,333,0,2
38,334,0,10
39,336,0,15
40,337,0,0
41,338,0,3
42,339,0,2
43,340,0,3
44,341,0,2
45,342,0,1
46,343,0,21
47,344,0,0
48,345,0,3
49,332,0,25
50,333,0,3
51,334,0,10
52,336,0,15
53,337,0,0
54,338,0,3
55,339,0,3
56,340,0,3
57,341,0,3
58,342,0,1
59,343,0,21
60,344,0,0
61,345,0,4
62,332,0,25
63,333,0,4
64,334,0,10
65,336,0,15
66,337,0,0
67,338,0,3
68,339,0,4
69,340,0,3
70,341,0,4
71,342,0,1
72,343,0,21
73,344,0,0
74,345,0,5
75,332,0,25
76,333,0,5
77,334,0,10
78,336,0,15
79,337,0,0
80,338,0,3
81,339,0,5
82,340,0,3
83,341,0,5
84,342,0,1
85,343,0,21
86,344,0,0
87,345,0,6
88,332,0,25
89,333,0,6
90,334,0,10
91,336,0,15
92,337,0,0
93,338,0,3
94,339,0,6
95,340,0,3
96,341,0,6
97,342,0,1
98,343,0,21
99,344,0,0
100,345,0,7
101,332,0,25
102,333,0,7
103,334,0,10
104,336,0,15
105,337,0,0
106,338,0,3
107,339,0,7
108,340,0,3
109,341,0,7
110,342,0,1
111,343,0,21
112,344,0,0
113,345,0,8
114,332,0,25
115,333,0,8
116,334,0,10
117,336,0,15
118,337,0,0
119,338,0,3
120,339,0,8
121,340,0,3
122,341,0,8
123,342,0,1
124,343,0,21
125,344,0,0
126,345,0,9
127,332,0,25
128,333,0,9
129,334,0,10
130,336,0,15
131,337,0,0
132,338,0,3
133,339,0,9
134,340,0,3
135,341,0,9
136,342,0,1
137,343,0,21
138,344,0,0
139,345,0,10
140,332,0,25
141,333,0,10
142,334,0,10
143,336,0,15
144,337,0,0
145,338,0,3
146,339,0,10
147,340,0,3
148,341,0,10
149,342,0,1
150,343,0,21
151,344,0,0
152,345,0,11
153,332,0,25
154,333,0,11
155,334,0,10
156,347,0,15
157,348,0,0
158,349,0,2
159,350,0,26
160,351,0,2
161,352,0,2
162,353,0,10
163,355,0,37
164,356,0,0
165,357,0,3
166,358,0,2
167,359,0,3
168,360,0,2
169,361,0,1
170,363,0,43
171,364,0,0
172,365,0,2
173,366,0,2
174,367,0,44
175,368,0,2
176,369,0,2
177,370,0,10
178,372,0,54
179,373,0,0
180,374,0,3
181,375,0,2
182,376,0,2
183,377,0,3
184,378,0,4
185,379,0,0
186,380,0,62
187,381,0,0
188,382,0,3
189,367,0,66
190,368,0,2
191,369,0,3
192,370,0,10
193,372,0,54
194,373,0,0
195,374,0,3
196,375,0,2
197,376,0,3
198,377,0,3
199,378,0,6
200,379,0,0
201,380,0,62
202,381,0,0
203,382,0,4
204,367,0,66
205,368,0,2
206,369,0,4
207,370,0,10
208,372,0,54
209,373,0,0
210,374,0,3
211,375,0,2
212,376,0,4
213,377,0,3
214,378,0,8
215,379,0,0
216,380,0,62
217,381,0,0
218,382,0,5
219,367,0,66
220,368,0,2
221,369,0,5
222,370,0,10
223,372,0,54
224,373,0,0
225,374,0,3
226,375,0,2
227,376,0,5
228,377,0,3
229,378,0,10
230,379,0,0
231,380,0,62
232,381,0,0
233,382,0,6
234,367,0,66
235,368,0,2
236,369,0,6
237,370,0,10
238,384,0,54
239,385,0,0
240,386,0,3
241,350,0,71
242,351,0,3
243,352,0,3
244,353,0,10
245,355,0,37
246,356,0,0
247,357,0,3
248,358,0,3
249,359,0,3
250,360,0,3
251,361,0,1
252,363,0,43
253,364,0,0
254,365,0,3
255,366,0,3
256,367,0,44
257,368,0,3
258,369,0,3
259,370,0,10
260,372,0,54
261,373,0,0
262,374,0,3
263,375,0,3
264,376,0,3
265,377,0,3
266,378,0,9
267,379,0,0
268,380,0,62
269,381,0,0
270,382,0,4
271,367,0,66
272,368,0,3
273,369,0,4
274,370,0,10
275,384,0,54
276,385,0,0
277,386,0,4
278,350,0,71
279,351,0,4
280,352,0,4
281,353,0,10
282,388,0,37
283,389,0,0
284,390,0,0
285,391,0,0
286,392,0,0
287,393,0,4
288,394,0,4
289,395,0,77
290,396,0,0
291,397,0,2
292,398,0,79
293,399,0,2
294,400,0,10
295,402,0,87
296,403,0,0
297,404,0,3
298,405,0,2
299,406,0,3
300,407,0,2
301,408,0,1
302,410,0,4
303,411,0,2
304,412,0,0
305,413,0,2
306,414,0,5
307,415,0,4
308,416,0,5
309,417,0,true
310,418,0,97
311,419,0,0
312,420,0,3
313,398,0,103
314,399,0,3
315,400,0,10
316,402,0,87
317,403,0,0
318,404,0,3
319,405,0,3
320,406,0,3
321,407,0,3
322,408,0,1
323,410,0,4
324,411,0,3
325,412,0,0
326,413,0,3
327,414,0,6
328,415,0,4
329,416,0,6
330,417,0,true
331,418,0,97
332,419,0,0
333,420,0,4
334,398,0,103
335,399,0,4
336,400,0,10
337,402,0,87
338,403,0,0
339,404,0,3
340,405,0,4
341,406,0,3
342,407,0,4
343,408,0,0
344,418,0,93
345,419,0,0
346,420,0,5
347,398,0,103
348,399,0,5
349,400,0,10
350,402,0,87
351,403,0,0
352,404,0,3
353,405,0,5
354,406,0,3
355,407,0,5
356,408,0,1
357,410,0,4
358,411,0,5
359,412,0,0
360,413,0,5
361,414,0,7
362,415,0,4
363,416,0,7
364,417,0,true
365,418,0,97
366,419,0,0
367,420,0,6
368,398,0,103
369,399,0,6
370,400,0,10
371,402,0,87
372,403,0,0
373,404,0,3
374,405,0,6
375,406,0,3
376,407,0,6
377,408,0,0
378,418,0,93
379,419,0,0
380,420,0,7
381,398,0,103
382,399,0,7
383,400,0,10
384,402,0,87
385,403,0,0
386,404,0,3
387,405,0,7
388,406,0,3
389,407,0,7
390,408,0,1
391,410,0,4
392,411,0,7
393,412,0,0
394,413,0,7
395,414,0,8
396,415,0,4
397,416,0,8
398,417,0,true
399,418,0,97
400,419,0,0
401,420,0,8
402,398,0,103
403,399,0,8
404,400,0,10
405,402,0,87
406,403,0,0
407,404,0,3
408,405,0,8
409,406,0,3
410,407,0,8
411,408,0,0
412,418,0,93
413,419,0,0
414,420,0,9
415,398,0,103
416,399,0,9
417,400,0,10
418,402,0,87
419,403,0,0
420,404,0,3
421,405,0,9
422,406,0,3
423,407,0,9
424,408,0,0
425,418,0,93
426,419,0,0
427,420,0,10
428,398,0,103
429,399,0,10
430,400,0,10
431,402,0,87
432,403,0,0
433,404,0,3
434,405,0,10
435,406,0,3
436,407,0,10
437,408,0,0
438,418,0,93
439,419,0,0
440,420,0,11
441,398,0,103
442,399,0,11
443,400,0,10
444,422,0,87
445,423,0,0
446,424,0,4
447,425,0,4
448,29,0,4
449,30,0,4
450,31,0,15
451,32,0,0
452,33,0,2
453,34,0,10
454,35,0,2
455,36,0,10
456,265,0,2
457,266,0,10
458,267,0,0
459,268,0,0
460,269,0,0
461,270,0,0
462,271,0,0
463,272,0,9
464,273,0,9
465,274,0,4
466,275,0,0
467,276,0,0
468,277,0,0
469,278,0,10
470,279,0,10
471,280,0,9
472,281,0,10
473,282,0,10
474,283,0,0
475,284,0,10
476,286,0,16
477,287,0,0
478,288,0,10
479,289,0,10
480,290,0,0
481,291,0,2
482,292,0,0
483,221,0,2
484,222,0,0
485,223,0,0
486,224,0,0
487,225,0,0
488,227,0,4
489,228,0,0
490,229,0,0
491,230,0,false
492,231,0,11
493,232,0,11
494,293,0,11
495,294,0,11
496,295,0,false
497,304,0,24
498,305,0,0
499,306,0,10
500,307,0,10
501,308,0,0
502,309,0,0
503,310,0,1
504,311,0,12
505,312,0,12
506,280,0,40
507,281,0,12
508,282,0,12
509,283,0,1
510,284,0,10
511,286,0,16
512,287,0,0
513,288,0,12
514,289,0,12
515,290,0,1
516,291,0,2
517,292,0,1
518,221,0,2
519,222,0,1
520,223,0,0
521,224,0,0
522,225,0,1
523,227,0,4
524,228,0,0
525,229,0,0
526,230,0,false
527,231,0,11
528,232,0,11
529,293,0,11
530,294,0,11
531,295,0,false
532,304,0,24
533,305,0,0
534,306,0,12
535,307,0,12
536,308,0,1
537,309,0,0
538,310,0,2
539,311,0,5
540,312,0,5
541,280,0,40
542,281,0,5
543,282,0,5
544,283,0,2
545,284,0,10
546,286,0,16
547,287,0,0
548,288,0,5
549,289,0,5
550,290,0,2
551,291,0,2
552,292,0,2
553,221,0,2
554,222,0,2
555,223,0,0
556,224,0,0
557,225,0,2
558,233,0,4
559,234,0,0
560,235,0,2
561,236,0,10
562,237,0,2
563,238,0,2
564,239,0,2
565,256,0,21
566,257,0,0
567,258,0,0
568,259,0,true
569,260,0,13
570,261,0,13
571,293,0,13
572,294,0,13
573,295,0,true
574,297,0,24
575,298,0,0
576,299,0,9
577,300,0,5
578,301,0,9
579,302,0,5
580,303,0,true
581,304,0,29
582,305,0,0
583,306,0,5
584,307,0,5
585,308,0,2
586,309,0,0
587,310,0,3
588,311,0,6
589,312,0,6
590,280,0,40
591,281,0,6
592,282,0,6
593,283,0,3
594,284,0,10
595,286,0,16
596,287,0,0
597,288,0,6
598,289,0,6
599,290,0,3
600,291,0,2
601,292,0,3
602,221,0,2
603,222,0,3
604,223,0,0
605,224,0,0
606,225,0,3
607,233,0,4
608,234,0,0
609,235,0,2
610,236,0,10
611,237,0,2
612,238,0,2
613,239,0,3
614,256,0,21
615,257,0,0
616,258,0,0
617,259,0,true
618,260,0,13
619,261,0,13
620,293,0,13
621,294,0,13
622,295,0,true
623,297,0,24
624,298,0,0
625,299,0,9
626,300,0,6
627,301,0,9
628,302,0,6
629,303,0,true
630,304,0,29
631,305,0,0
632,306,0,6
633,307,0,6
634,308,0,3
635,309,0,0
636,310,0,4
637,311,0,14
638,312,0,14
639,280,0,40
640,281,0,14
641,282,0,14
642,283,0,4
643,284,0,10
644,286,0,16
645,287,0,0
646,288,0,14
647,289,0,14
648,290,0,4
649,291,0,2
650,292,0,4
651,221,0,2
652,222,0,4
653,223,0,0
654,224,0,0
655,225,0,4
656,233,0,4
657,234,0,0
658,235,0,2
659,236,0,10
660,237,0,2
661,238,0,2
662,239,0,4
663,241,0,21
664,242,0,0
665,243,0,4
666,244,0,2
667,246,0,27
668,247,0,0
669,248,0,0
670,249,0,false
671,250,0,11
672,251,0,11
673,293,0,11
674,294,0,11
675,295,0,false
676,304,0,24
677,305,0,0
678,306,0,14
679,307,0,14
680,308,0,4
681,309,0,0
682,310,0,5
683,311,0,7
684,312,0,7
685,280,0,40
686,281,0,7
687,282,0,7
688,283,0,5
689,284,0,10
690,286,0,16
691,287,0,0
692,288,0,7
693,289,0,7
694,290,0,5
695,291,0,2
696,292,0,5
697,221,0,2
698,222,0,5
699,223,0,0
700,224,0,0
701,225,0,5
702,233,0,4
703,234,0,0
704,235,0,2
705,236,0,10
706,237,0,2
707,238,0,2
708,239,0,5
709,241,0,21
710,242,0,0
711,243,0,5
712,244,0,2
713,252,0,27
714,253,0,0
715,254,0,3
716,236,0,37
717,237,0,3
718,238,0,3
719,239,0,5
720,256,0,21
721,257,0,0
722,258,0,0
723,259,0,true
724,260,0,13
725,261,0,13
726,293,0,13
727,294,0,13
728,295,0,true
729,297,0,24
730,298,0,0
731,299,0,9
732,300,0,7
733,301,0,9
734,302,0,7
735,303,0,true
736,304,0,29
737,305,0,0
738,306,0,7
739,307,0,7
740,308,0,5
741,309,0,0
742,310,0,6
743,311,0,15
744,312,0,15
745,280,0,40
746,281,0,15
747,282,0,15
748,283,0,6
749,284,0,10
750,286,0,16
751,287,0,0
752,288,0,15
753,289,0,15
754,290,0,6
755,291,0,2
756,292,0,6
757,221,0,2
758,222,0,6
759,223,0,0
760,224,0,0
761,225,0,6
762,233,0,4
763,234,0,0
764,235,0,2
765,236,0,10
766,237,0,2
767,238,0,2
768,239,0,6
769,241,0,21
770,242,0,0
771,243,0,6
772,244,0,2
773,246,0,27
774,247,0,0
775,248,0,0
776,249,0,false
777,250,0,11
778,251,0,11
779,293,0,11
780,294,0,11
781,295,0,false
782,304,0,24
783,305,0,0
784,306,0,15
785,307,0,15
786,308,0,6
787,309,0,0
788,310,0,7
789,311,0,8
790,312,0,8
791,280,0,40
792,281,0,8
793,282,0,8
794,283,0,7
795,284,0,10
796,286,0,16
797,287,0,0
798,288,0,8
799,289,0,8
800,290,0,7
801,291,0,2
802,292,0,7
803,221,0,2
804,222,0,7
805,223,0,0
806,224,0,0
807,225,0,7
808,233,0,4
809,234,0,0
810,235,0,2
811,236,0,10
812,237,0,2
813,238,0,2
814,239,0,7
815,241,0,21
816,242,0,0
817,243,0,7
818,244,0,2
819,252,0,27
820,253,0,0
821,254,0,3
822,236,0,37
823,237,0,3
824,238,0,3
825,239,0,7
826,256,0,21
827,257,0,0
828,258,0,0
829,259,0,true
830,260,0,13
831,261,0,13
832,293,0,13
833,294,0,13
834,295,0,true
835,297,0,24
836,298,0,0
837,299,0,9
838,300,0,8
839,301,0,9
840,302,0,8
841,303,0,true
842,304,0,29
843,305,0,0
844,306,0,8
845,307,0,8
846,308,0,7
847,309,0,0
848,310,0,8
849,311,0,16
850,312,0,16
851,280,0,40
852,281,0,16
853,282,0,16
854,283,0,8
855,284,0,10
856,286,0,16
857,287,0,0
858,288,0,16
859,289,0,16
860,290,0,8
861,291,0,2
862,292,0,8
863,221,0,2
864,222,0,8
865,223,0,0
866,224,0,0
867,225,0,8
868,233,0,4
869,234,0,0
870,235,0,2
871,236,0,10
872,237,0,2
873,238,0,2
874,239,0,8
875,241,0,21
876,242,0,0
877,243,0,8
878,244,0,2
879,246,0,27
880,247,0,0
881,248,0,0
882,249,0,false
883,250,0,11
884,251,0,11
885,293,0,11
886,294,0,11
887,295,0,false
888,304,0,24
889,305,0,0
890,306,0,16
891,307,0,16
892,308,0,8
893,309,0,0
894,310,0,9
895,311,0,17
896,312,0,17
897,280,0,40
898,281,0,17
899,282,0,17
900,283,0,9
901,284,0,10
902,286,0,16
903,287,0,0
904,288,0,17
905,289,0,17
906,290,0,9
907,291,0,2
908,292,0,9
909,221,0,2
910,222,0,9
911,223,0,0
912,224,0,0
913,225,0,9
914,233,0,4
915,234,0,0
916,235,0,2
917,236,0,10
918,237,0,2
919,238,0,2
920,239,0,9
921,241,0,21
922,242,0,0
923,243,0,9
924,244,0,2
925,252,0,27
926,253,0,0
927,254,0,3
928,236,0,37
929,237,0,3
930,238,0,3
931,239,0,9
932,241,0,21
933,242,0,0
934,243,0,9
935,244,0,3
936,246,0,27
937,247,0,0
938,248,0,0
939,249,0,false
940,250,0,11
941,251,0,11
942,293,0,11
943,294,0,11
944,295,0,false
945,304,0,24
946,305,0,0
947,306,0,17
948,307,0,17
949,308,0,9
950,309,0,0
951,310,0,10
952,311,0,18
953,312,0,18
954,280,0,40
955,281,0,18
956,282,0,18
957,283,0,10
958,284,0,10
959,286,0,16
960,287,0,0
961,288,0,18
962,289,0,18
963,290,0,10
964,291,0,2
965,292,0,10
966,221,0,2
967,222,0,10
968,223,0,0
969,224,0,0
970,225,0,10
971,233,0,4
972,234,0,0
973,235,0,2
974,236,0,10
975,237,0,2
976,238,0,2
977,239,0,10
978,241,0,21
979,242,0,0
980,243,0,10
981,244,0,2
982,246,0,27
983,247,0,0
984,248,0,0
985,249,0,false
986,250,0,11
987,251,0,11
988,293,0,11
989,294,0,11
990,295,0,false
991,304,0,24
992,305,0,0
993,306,0,18
994,307,0,18
995,308,0,10
996,309,0,0
997,310,0,11
998,311,0,19
999,312,0,19
1000,280,0,40
1001,281,0,19
1002,282,0,19
1003,283,0,11
1004,284,0,10
1005,314,0,16
1006,315,0,0
1007,316,0,9
1008,317,0,9
1009,37,0,9
