DataID,ClassID,MethodID,ClassName,MethodName,Line,InstructionIndex,EventType,ValueDesc,Attributes
0,0,0,Main,<init>,4,-1,RESERVED,V,"null"
1,0,0,Main,<init>,4,0,METHOD_ENTRY,V,"methodtype=constructor"
2,0,0,Main,<init>,4,0,LABEL,I,"null"
3,0,0,Main,<init>,4,1,LINE_NUMBER,V,"null"
4,0,0,Main,<init>,4,3,CALL,V,"opcode=INVOKESPECIAL,owner=java.lang.Object,name=<init>,desc=()V,methodtype=constructor"
5,0,0,Main,<init>,4,3,CALL_RETURN,V,"type=void"
6,0,0,Main,<init>,4,3,METHOD_OBJECT_INITIALIZED,Ljava/lang/Object;,"null"
7,0,0,Main,<init>,4,4,METHOD_NORMAL_EXIT,V,"type=void"
8,0,0,Main,<init>,4,6,CATCH,Ljava/lang/Object;,"type=java.lang.Throwable,location=exceptional-exit,start=0,end=6,handler=6"
9,0,0,Main,<init>,4,6,METHOD_EXCEPTIONAL_EXIT,Ljava/lang/Object;,"location=exceptional-exit-rethrow"
10,0,1,Main,main,7,-1,RESERVED,V,"null"
11,0,1,Main,main,7,0,METHOD_ENTRY,V,"methodtype=static"
12,0,1,Main,main,7,0,METHOD_PARAM,Ljava/lang/Object;,"type=java.lang.String[],name=args,index=0"
13,0,1,Main,main,7,0,LABEL,I,"null"
14,0,1,Main,main,7,1,LINE_NUMBER,V,"null"
15,0,1,Main,main,7,3,LOCAL_STORE,I,"type=int,varindex=1,name=num"
16,0,1,Main,main,8,4,LABEL,I,"null"
17,0,1,Main,main,8,5,LINE_NUMBER,V,"null"
18,0,1,Main,main,8,6,NEW_OBJECT,V,"objecttype=customClass.myString"
19,0,1,Main,main,8,8,OBJECT_CONSTANT_LOAD,Ljava/lang/Object;,"type=java.lang.String"
20,0,1,Main,main,8,9,CALL,V,"opcode=INVOKESPECIAL,owner=customClass.myString,name=<init>,desc=(Ljava/lang/String;)V,methodtype=constructor,created=6"
21,0,1,Main,main,8,9,CALL_PARAM,Ljava/lang/Object;,"type=java.lang.String,index=1"
22,0,1,Main,main,8,9,CALL_RETURN,V,"type=void"
23,0,1,Main,main,8,9,NEW_OBJECT_CREATED,Ljava/lang/Object;,"created=6"
24,0,1,Main,main,8,10,LOCAL_STORE,Ljava/lang/Object;,"type=customClass.myString,varindex=2,name=str"
25,0,1,Main,main,9,11,LABEL,I,"null"
26,0,1,Main,main,9,12,LINE_NUMBER,V,"null"
27,0,1,Main,main,9,13,NEW_OBJECT,V,"objecttype=customClass.myString"
28,0,1,Main,main,9,15,OBJECT_CONSTANT_LOAD,Ljava/lang/Object;,"type=java.lang.String"
29,0,1,Main,main,9,16,CALL,V,"opcode=INVOKESPECIAL,owner=customClass.myString,name=<init>,desc=(Ljava/lang/String;)V,methodtype=constructor,created=13"
30,0,1,Main,main,9,16,CALL_PARAM,Ljava/lang/Object;,"type=java.lang.String,index=1"
31,0,1,Main,main,9,16,CALL_RETURN,V,"type=void"
32,0,1,Main,main,9,16,NEW_OBJECT_CREATED,Ljava/lang/Object;,"created=13"
33,0,1,Main,main,9,17,LOCAL_STORE,Ljava/lang/Object;,"type=customClass.myString,varindex=3,name=neko"
34,0,1,Main,main,10,18,LABEL,I,"null"
35,0,1,Main,main,10,19,LINE_NUMBER,V,"null"
36,0,1,Main,main,10,20,NEW_OBJECT,V,"objecttype=customClass.myString"
37,0,1,Main,main,10,22,OBJECT_CONSTANT_LOAD,Ljava/lang/Object;,"type=java.lang.String"
38,0,1,Main,main,10,23,CALL,V,"opcode=INVOKESPECIAL,owner=customClass.myString,name=<init>,desc=(Ljava/lang/String;)V,methodtype=constructor,created=20"
39,0,1,Main,main,10,23,CALL_PARAM,Ljava/lang/Object;,"type=java.lang.String,index=1"
40,0,1,Main,main,10,23,CALL_RETURN,V,"type=void"
41,0,1,Main,main,10,23,NEW_OBJECT_CREATED,Ljava/lang/Object;,"created=20"
42,0,1,Main,main,10,24,LOCAL_STORE,Ljava/lang/Object;,"type=customClass.myString,varindex=4,name=inu"
43,0,1,Main,main,11,25,LABEL,I,"null"
