Seqnum,DataId,ThreadId,Value
0,11,0,0
1,12,0,1
2,13,0,0
3,14,0,0
4,15,0,10
5,16,0,0
6,17,0,0
7,18,0,0
8,19,0,2
9,20,0,0
10,21,0,2
11,64,0,0
12,65,0,2
13,66,0,0
14,67,0,0
15,68,0,0
16,69,0,0
17,70,0,3
18,71,0,3
19,72,0,0
20,73,0,2
21,74,0,3
22,75,0,2
23,76,0,8
24,77,0,0
25,78,0,0
26,22,0,0
27,23,0,3
28,24,0,3
29,25,0,9
30,26,0,0
31,27,0,0
32,28,0,2
33,29,0,0
34,30,0,2
35,64,0,0
36,65,0,2
37,66,0,0
38,67,0,0
39,68,0,0
40,69,0,0
41,70,0,4
42,71,0,3
43,72,0,0
44,73,0,2
45,74,0,4
46,75,0,2
47,76,0,8
48,77,0,0
49,78,0,0
50,31,0,0
51,32,0,4
52,33,0,4
53,34,0,16
54,35,0,0
55,36,0,0
56,37,0,5
57,38,0,0
58,39,0,5
59,64,0,0
60,65,0,5
61,66,0,0
62,67,0,0
63,68,0,0
64,69,0,0
65,70,0,6
66,71,0,3
67,72,0,0
68,73,0,5
69,74,0,6
70,75,0,5
71,76,0,8
72,77,0,0
73,78,0,0
74,40,0,0
75,41,0,6
76,42,0,6
77,43,0,23
78,44,0,0
79,45,0,3
80,46,0,3
81,176,0,3
82,177,0,0
83,178,0,0
84,179,0,7
85,180,0,3
86,181,0,2
87,182,0,7
88,183,0,2
89,184,0,0
90,185,0,5
91,186,0,0
92,187,0,0
93,47,0,0
94,48,0,28
95,49,0,0
96,50,0,4
97,51,0,4
98,176,0,4
99,177,0,0
100,178,0,0
101,179,0,7
102,180,0,4
103,181,0,2
104,182,0,7
105,183,0,2
106,184,0,0
107,185,0,5
108,186,0,0
109,187,0,0
110,52,0,0
111,53,0,32
112,54,0,0
113,55,0,6
114,56,0,6
115,176,0,6
116,177,0,0
117,178,0,0
118,179,0,7
119,180,0,6
120,181,0,5
121,182,0,7
122,183,0,5
123,184,0,0
124,185,0,5
125,186,0,0
126,187,0,0
127,57,0,0
128,58,0,36
129,59,0,0
130,60,0,0
