Seqnum,DataId,ThreadId,Value
0,11,0,0
1,12,0,1
2,13,0,0
3,14,0,0
4,15,0,0
5,16,0,0
6,101,0,0
7,102,0,0
8,103,0,0
9,104,0,0
10,105,0,0
11,106,0,2
12,107,0,0
13,17,0,0
14,18,0,2
15,19,0,2
16,20,0,4
17,21,0,0
18,22,0,10
19,23,0,6
20,24,0,0
21,25,0,2
22,26,0,10
23,27,0,0
24,28,0,10
25,311,0,0
26,312,0,10
27,313,0,0
28,314,0,0
29,315,0,10
30,316,0,11
31,317,0,3
32,318,0,3
33,319,0,0
34,320,0,0
35,321,0,2
36,322,0,7
37,323,0,2
38,324,0,10
39,326,0,15
40,327,0,0
41,328,0,3
42,329,0,2
43,330,0,3
44,331,0,2
45,332,0,1
46,333,0,21
47,334,0,0
48,335,0,3
49,322,0,25
50,323,0,3
51,324,0,10
52,326,0,15
53,327,0,0
54,328,0,3
55,329,0,3
56,330,0,3
57,331,0,3
58,332,0,1
59,333,0,21
60,334,0,0
61,335,0,4
62,322,0,25
63,323,0,4
64,324,0,10
65,326,0,15
66,327,0,0
67,328,0,3
68,329,0,4
69,330,0,3
70,331,0,4
71,332,0,1
72,333,0,21
73,334,0,0
74,335,0,5
75,322,0,25
76,323,0,5
77,324,0,10
78,326,0,15
79,327,0,0
80,328,0,3
81,329,0,5
82,330,0,3
83,331,0,5
84,332,0,1
85,333,0,21
86,334,0,0
87,335,0,6
88,322,0,25
89,323,0,6
90,324,0,10
91,326,0,15
92,327,0,0
93,328,0,3
94,329,0,6
95,330,0,3
96,331,0,6
97,332,0,1
98,333,0,21
99,334,0,0
100,335,0,7
101,322,0,25
102,323,0,7
103,324,0,10
104,326,0,15
105,327,0,0
106,328,0,3
107,329,0,7
108,330,0,3
109,331,0,7
110,332,0,1
111,333,0,21
112,334,0,0
113,335,0,8
114,322,0,25
115,323,0,8
116,324,0,10
117,326,0,15
118,327,0,0
119,328,0,3
120,329,0,8
121,330,0,3
122,331,0,8
123,332,0,1
124,333,0,21
125,334,0,0
126,335,0,9
127,322,0,25
128,323,0,9
129,324,0,10
130,326,0,15
131,327,0,0
132,328,0,3
133,329,0,9
134,330,0,3
135,331,0,9
136,332,0,1
137,333,0,21
138,334,0,0
139,335,0,10
140,322,0,25
141,323,0,10
142,324,0,10
143,326,0,15
144,327,0,0
145,328,0,3
146,329,0,10
147,330,0,3
148,331,0,10
149,332,0,1
150,333,0,21
151,334,0,0
152,335,0,11
153,322,0,25
154,323,0,11
155,324,0,10
156,337,0,15
157,338,0,0
158,339,0,2
159,340,0,26
160,341,0,2
161,342,0,2
162,343,0,10
163,345,0,37
164,346,0,0
165,347,0,3
166,348,0,2
167,349,0,3
168,350,0,2
169,351,0,1
170,353,0,43
171,354,0,0
172,355,0,2
173,356,0,2
174,357,0,44
175,358,0,2
176,359,0,2
177,360,0,10
178,362,0,54
179,363,0,0
180,364,0,3
181,365,0,2
182,366,0,2
183,367,0,3
184,368,0,4
185,369,0,0
186,370,0,62
187,371,0,0
188,372,0,3
189,357,0,66
190,358,0,2
191,359,0,3
192,360,0,10
193,362,0,54
194,363,0,0
195,364,0,3
196,365,0,2
197,366,0,3
198,367,0,3
199,368,0,6
200,369,0,0
201,370,0,62
202,371,0,0
203,372,0,4
204,357,0,66
205,358,0,2
206,359,0,4
207,360,0,10
208,362,0,54
209,363,0,0
210,364,0,3
211,365,0,2
212,366,0,4
213,367,0,3
214,368,0,8
215,369,0,0
216,370,0,62
217,371,0,0
218,372,0,5
219,357,0,66
220,358,0,2
221,359,0,5
222,360,0,10
223,362,0,54
224,363,0,0
225,364,0,3
226,365,0,2
227,366,0,5
228,367,0,3
229,368,0,10
230,369,0,0
231,370,0,62
232,371,0,0
233,372,0,6
234,357,0,66
235,358,0,2
236,359,0,6
237,360,0,10
238,374,0,54
239,375,0,0
240,376,0,3
241,340,0,71
242,341,0,3
243,342,0,3
244,343,0,10
245,345,0,37
246,346,0,0
247,347,0,3
248,348,0,3
249,349,0,3
250,350,0,3
251,351,0,1
252,353,0,43
253,354,0,0
254,355,0,3
255,356,0,3
256,357,0,44
257,358,0,3
258,359,0,3
259,360,0,10
260,362,0,54
261,363,0,0
262,364,0,3
263,365,0,3
264,366,0,3
265,367,0,3
266,368,0,9
267,369,0,0
268,370,0,62
269,371,0,0
270,372,0,4
271,357,0,66
272,358,0,3
273,359,0,4
274,360,0,10
275,374,0,54
276,375,0,0
277,376,0,4
278,340,0,71
279,341,0,4
280,342,0,4
281,343,0,10
282,378,0,37
283,379,0,0
284,380,0,0
285,381,0,0
286,382,0,0
287,383,0,4
288,384,0,4
289,385,0,77
290,386,0,0
291,387,0,2
292,388,0,79
293,389,0,2
294,390,0,10
295,392,0,87
296,393,0,0
297,394,0,3
298,395,0,2
299,396,0,3
300,397,0,2
301,398,0,1
302,400,0,4
303,401,0,2
304,402,0,0
305,403,0,2
306,404,0,5
307,405,0,4
308,406,0,5
309,407,0,true
310,408,0,97
311,409,0,0
312,410,0,3
313,388,0,103
314,389,0,3
315,390,0,10
316,392,0,87
317,393,0,0
318,394,0,3
319,395,0,3
320,396,0,3
321,397,0,3
322,398,0,1
323,400,0,4
324,401,0,3
325,402,0,0
326,403,0,3
327,404,0,6
328,405,0,4
329,406,0,6
330,407,0,true
331,408,0,97
332,409,0,0
333,410,0,4
334,388,0,103
335,389,0,4
336,390,0,10
337,392,0,87
338,393,0,0
339,394,0,3
340,395,0,4
341,396,0,3
342,397,0,4
343,398,0,0
344,408,0,93
345,409,0,0
346,410,0,5
347,388,0,103
348,389,0,5
349,390,0,10
350,392,0,87
351,393,0,0
352,394,0,3
353,395,0,5
354,396,0,3
355,397,0,5
356,398,0,1
357,400,0,4
358,401,0,5
359,402,0,0
360,403,0,5
361,404,0,7
362,405,0,4
363,406,0,7
364,407,0,true
365,408,0,97
366,409,0,0
367,410,0,6
368,388,0,103
369,389,0,6
370,390,0,10
371,392,0,87
372,393,0,0
373,394,0,3
374,395,0,6
375,396,0,3
376,397,0,6
377,398,0,0
378,408,0,93
379,409,0,0
380,410,0,7
381,388,0,103
382,389,0,7
383,390,0,10
384,392,0,87
385,393,0,0
386,394,0,3
387,395,0,7
388,396,0,3
389,397,0,7
390,398,0,1
391,400,0,4
392,401,0,7
393,402,0,0
394,403,0,7
395,404,0,8
396,405,0,4
397,406,0,8
398,407,0,true
399,408,0,97
400,409,0,0
401,410,0,8
402,388,0,103
403,389,0,8
404,390,0,10
405,392,0,87
406,393,0,0
407,394,0,3
408,395,0,8
409,396,0,3
410,397,0,8
411,398,0,0
412,408,0,93
413,409,0,0
414,410,0,9
415,388,0,103
416,389,0,9
417,390,0,10
418,392,0,87
419,393,0,0
420,394,0,3
421,395,0,9
422,396,0,3
423,397,0,9
424,398,0,0
425,408,0,93
426,409,0,0
427,410,0,10
428,388,0,103
429,389,0,10
430,390,0,10
431,392,0,87
432,393,0,0
433,394,0,3
434,395,0,10
435,396,0,3
436,397,0,10
437,398,0,0
438,408,0,93
439,409,0,0
440,410,0,11
441,388,0,103
442,389,0,11
443,390,0,10
444,412,0,87
445,413,0,0
446,414,0,4
447,415,0,4
448,29,0,4
449,30,0,4
450,31,0,15
451,32,0,0
452,33,0,2
453,34,0,10
454,35,0,2
455,36,0,10
456,255,0,2
457,256,0,10
458,257,0,0
459,258,0,0
460,259,0,0
461,260,0,0
462,261,0,0
463,262,0,9
464,263,0,9
465,264,0,4
466,265,0,0
467,266,0,0
468,267,0,0
469,268,0,10
470,269,0,10
471,270,0,9
472,271,0,10
473,272,0,10
474,273,0,0
475,274,0,10
476,276,0,16
477,277,0,0
478,278,0,10
479,279,0,10
480,280,0,0
481,281,0,2
482,282,0,0
483,212,0,2
484,213,0,0
485,214,0,0
486,215,0,0
487,216,0,0
488,218,0,4
489,219,0,0
490,220,0,0
491,221,0,false
492,222,0,11
493,223,0,11
494,283,0,11
495,284,0,11
496,285,0,false
497,294,0,24
498,295,0,0
499,296,0,10
500,297,0,10
501,298,0,0
502,299,0,0
503,300,0,1
504,301,0,12
505,302,0,12
506,270,0,40
507,271,0,12
508,272,0,12
509,273,0,1
510,274,0,10
511,276,0,16
512,277,0,0
513,278,0,12
514,279,0,12
515,280,0,1
516,281,0,2
517,282,0,1
518,212,0,2
519,213,0,1
520,214,0,0
521,215,0,0
522,216,0,1
523,218,0,4
524,219,0,0
525,220,0,0
526,221,0,false
527,222,0,11
528,223,0,11
529,283,0,11
530,284,0,11
531,285,0,false
532,294,0,24
533,295,0,0
534,296,0,12
535,297,0,12
536,298,0,1
537,299,0,0
538,300,0,2
539,301,0,5
540,302,0,5
541,270,0,40
542,271,0,5
543,272,0,5
544,273,0,2
545,274,0,10
546,276,0,16
547,277,0,0
548,278,0,5
549,279,0,5
550,280,0,2
551,281,0,2
552,282,0,2
553,212,0,2
554,213,0,2
555,214,0,0
556,215,0,0
557,216,0,2
558,224,0,4
559,225,0,0
560,226,0,2
561,227,0,10
562,228,0,2
563,229,0,2
564,246,0,19
565,247,0,0
566,248,0,0
567,249,0,true
568,250,0,13
569,251,0,13
570,283,0,13
571,284,0,13
572,285,0,true
573,287,0,24
574,288,0,0
575,289,0,9
576,290,0,5
577,291,0,9
578,292,0,5
579,293,0,true
580,294,0,29
581,295,0,0
582,296,0,5
583,297,0,5
584,298,0,2
585,299,0,0
586,300,0,3
587,301,0,6
588,302,0,6
589,270,0,40
590,271,0,6
591,272,0,6
592,273,0,3
593,274,0,10
594,276,0,16
595,277,0,0
596,278,0,6
597,279,0,6
598,280,0,3
599,281,0,2
600,282,0,3
601,212,0,2
602,213,0,3
603,214,0,0
604,215,0,0
605,216,0,3
606,224,0,4
607,225,0,0
608,226,0,2
609,227,0,10
610,228,0,2
611,229,0,3
612,231,0,19
613,232,0,0
614,233,0,3
615,234,0,2
616,242,0,25
617,243,0,0
618,244,0,3
619,227,0,35
620,228,0,3
621,229,0,3
622,246,0,19
623,247,0,0
624,248,0,0
625,249,0,true
626,250,0,13
627,251,0,13
628,283,0,13
629,284,0,13
630,285,0,true
631,287,0,24
632,288,0,0
633,289,0,9
634,290,0,6
635,291,0,9
636,292,0,6
637,293,0,true
638,294,0,29
639,295,0,0
640,296,0,6
641,297,0,6
642,298,0,3
643,299,0,0
644,300,0,4
645,301,0,14
646,302,0,14
647,270,0,40
648,271,0,14
649,272,0,14
650,273,0,4
651,274,0,10
652,276,0,16
653,277,0,0
654,278,0,14
655,279,0,14
656,280,0,4
657,281,0,2
658,282,0,4
659,212,0,2
660,213,0,4
661,214,0,0
662,215,0,0
663,216,0,4
664,224,0,4
665,225,0,0
666,226,0,2
667,227,0,10
668,228,0,2
669,229,0,4
670,231,0,19
671,232,0,0
672,233,0,4
673,234,0,2
674,236,0,25
675,237,0,0
676,238,0,0
677,239,0,false
678,240,0,11
679,241,0,11
680,283,0,11
681,284,0,11
682,285,0,false
683,294,0,24
684,295,0,0
685,296,0,14
686,297,0,14
687,298,0,4
688,299,0,0
689,300,0,5
690,301,0,7
691,302,0,7
692,270,0,40
693,271,0,7
694,272,0,7
695,273,0,5
696,274,0,10
697,276,0,16
698,277,0,0
699,278,0,7
700,279,0,7
701,280,0,5
702,281,0,2
703,282,0,5
704,212,0,2
705,213,0,5
706,214,0,0
707,215,0,0
708,216,0,5
709,224,0,4
710,225,0,0
711,226,0,2
712,227,0,10
713,228,0,2
714,229,0,5
715,231,0,19
716,232,0,0
717,233,0,5
718,234,0,2
719,242,0,25
720,243,0,0
721,244,0,3
722,227,0,35
723,228,0,3
724,229,0,5
725,231,0,19
726,232,0,0
727,233,0,5
728,234,0,3
729,242,0,25
730,243,0,0
731,244,0,4
732,227,0,35
733,228,0,4
734,229,0,5
735,231,0,19
736,232,0,0
737,233,0,5
738,234,0,4
739,242,0,25
740,243,0,0
741,244,0,5
742,227,0,35
743,228,0,5
744,229,0,5
745,246,0,19
746,247,0,0
747,248,0,0
748,249,0,true
749,250,0,13
750,251,0,13
751,283,0,13
752,284,0,13
753,285,0,true
754,287,0,24
755,288,0,0
756,289,0,9
757,290,0,7
758,291,0,9
759,292,0,7
760,293,0,true
761,294,0,29
762,295,0,0
763,296,0,7
764,297,0,7
765,298,0,5
766,299,0,0
767,300,0,6
768,301,0,15
769,302,0,15
770,270,0,40
771,271,0,15
772,272,0,15
773,273,0,6
774,274,0,10
775,276,0,16
776,277,0,0
777,278,0,15
778,279,0,15
779,280,0,6
780,281,0,2
781,282,0,6
782,212,0,2
783,213,0,6
784,214,0,0
785,215,0,0
786,216,0,6
787,224,0,4
788,225,0,0
789,226,0,2
790,227,0,10
791,228,0,2
792,229,0,6
793,231,0,19
794,232,0,0
795,233,0,6
796,234,0,2
797,236,0,25
798,237,0,0
799,238,0,0
800,239,0,false
801,240,0,11
802,241,0,11
803,283,0,11
804,284,0,11
805,285,0,false
806,294,0,24
807,295,0,0
808,296,0,15
809,297,0,15
810,298,0,6
811,299,0,0
812,300,0,7
813,301,0,8
814,302,0,8
815,270,0,40
816,271,0,8
817,272,0,8
818,273,0,7
819,274,0,10
820,276,0,16
821,277,0,0
822,278,0,8
823,279,0,8
824,280,0,7
825,281,0,2
826,282,0,7
827,212,0,2
828,213,0,7
829,214,0,0
830,215,0,0
831,216,0,7
832,224,0,4
833,225,0,0
834,226,0,2
835,227,0,10
836,228,0,2
837,229,0,7
838,231,0,19
839,232,0,0
840,233,0,7
841,234,0,2
842,242,0,25
843,243,0,0
844,244,0,3
845,227,0,35
846,228,0,3
847,229,0,7
848,231,0,19
849,232,0,0
850,233,0,7
851,234,0,3
852,242,0,25
853,243,0,0
854,244,0,4
855,227,0,35
856,228,0,4
857,229,0,7
858,231,0,19
859,232,0,0
860,233,0,7
861,234,0,4
862,242,0,25
863,243,0,0
864,244,0,5
865,227,0,35
866,228,0,5
867,229,0,7
868,231,0,19
869,232,0,0
870,233,0,7
871,234,0,5
872,242,0,25
873,243,0,0
874,244,0,6
875,227,0,35
876,228,0,6
877,229,0,7
878,231,0,19
879,232,0,0
880,233,0,7
881,234,0,6
882,242,0,25
883,243,0,0
884,244,0,7
885,227,0,35
886,228,0,7
887,229,0,7
888,246,0,19
889,247,0,0
890,248,0,0
891,249,0,true
892,250,0,13
893,251,0,13
894,283,0,13
895,284,0,13
896,285,0,true
897,287,0,24
898,288,0,0
899,289,0,9
900,290,0,8
901,291,0,9
902,292,0,8
903,293,0,true
904,294,0,29
905,295,0,0
906,296,0,8
907,297,0,8
908,298,0,7
909,299,0,0
910,300,0,8
911,301,0,16
912,302,0,16
913,270,0,40
914,271,0,16
915,272,0,16
916,273,0,8
917,274,0,10
918,276,0,16
919,277,0,0
920,278,0,16
921,279,0,16
922,280,0,8
923,281,0,2
924,282,0,8
925,212,0,2
926,213,0,8
927,214,0,0
928,215,0,0
929,216,0,8
930,224,0,4
931,225,0,0
932,226,0,2
933,227,0,10
934,228,0,2
935,229,0,8
936,231,0,19
937,232,0,0
938,233,0,8
939,234,0,2
940,236,0,25
941,237,0,0
942,238,0,0
943,239,0,false
944,240,0,11
945,241,0,11
946,283,0,11
947,284,0,11
948,285,0,false
949,294,0,24
950,295,0,0
951,296,0,16
952,297,0,16
953,298,0,8
954,299,0,0
955,300,0,9
956,301,0,17
957,302,0,17
958,270,0,40
959,271,0,17
960,272,0,17
961,273,0,9
962,274,0,10
963,276,0,16
964,277,0,0
965,278,0,17
966,279,0,17
967,280,0,9
968,281,0,2
969,282,0,9
970,212,0,2
971,213,0,9
972,214,0,0
973,215,0,0
974,216,0,9
975,224,0,4
976,225,0,0
977,226,0,2
978,227,0,10
979,228,0,2
980,229,0,9
981,231,0,19
982,232,0,0
983,233,0,9
984,234,0,2
985,242,0,25
986,243,0,0
987,244,0,3
988,227,0,35
989,228,0,3
990,229,0,9
991,231,0,19
992,232,0,0
993,233,0,9
994,234,0,3
995,236,0,25
996,237,0,0
997,238,0,0
998,239,0,false
999,240,0,11
1000,241,0,11
1001,283,0,11
1002,284,0,11
1003,285,0,false
1004,294,0,24
1005,295,0,0
1006,296,0,17
1007,297,0,17
1008,298,0,9
1009,299,0,0
